"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",1.2,2,2,"Hoeffding",0.3219,0.00467204869409556,0.0204890124412392,10000,10000
50,"linear",1.2,2,2,"dCov",0.3508,0.00477220452202124,0.327005870123583,10000,10000
50,"linear",1.2,2,2,"HHG",0.2167,0.00411996492703518,3437.46351738014,10000,10000
50,"linear",1.2,2,2,"Genest",0.3373,0.00472788229548918,0.0566008302222235,10000,10000
50,"linear",1.2,2,2,"MIC",0.1239,0.00329467433899012,0.401188691100539,10000,10000
50,"linear",1.2,2,1,"B_n",0.2736,0.0044580605648645,5.85469906450336,10000,10000
50,"linear",1.2,2,1,"P_n",0.2736,0.0044580605648645,5.8560916975526,10000,10000
50,"linear",1.2,2,1,"Hoeffding",0.3051,0.00460449769247418,0.0201371320961316,10000,10000
50,"linear",1.2,2,1,"dCov",0.3407,0.00473944627567398,0.32621133035121,10000,10000
50,"linear",1.2,2,1,"HHG",0.1983,0.00398719337379064,3447.54543209637,10000,10000
50,"linear",1.2,2,1,"Genest",0.3217,0.00467128579729393,0.0564580942222225,10000,10000
50,"linear",1.2,2,1,"MIC",0.1288,0.00334978447067867,0.398332313985313,10000,10000
50,"linear",1.3,2,2,"B_n",0.1808,0.00384852387286346,9.43270574912127,10000,10000
50,"linear",1.3,2,2,"P_n",0.1811,0.00385101012722636,9.35404436719938,10000,10000
50,"linear",1.3,2,2,"Hoeffding",0.2692,0.00443544090254847,0.0212571268100209,10000,10000
50,"linear",1.3,2,2,"dCov",0.2961,0.004565356393536,0.33192095380997,10000,10000
50,"linear",1.3,2,2,"HHG",0.1807,0.00384769424460936,3466.29359445017,10000,10000
50,"linear",1.3,2,2,"Genest",0.2792,0.00448606018684547,0.0588951342222223,10000,10000
50,"linear",1.3,2,2,"MIC",0.1215,0.0032670743793186,0.398282263185926,10000,10000
50,"linear",1.3,2,1,"B_n",0.2336,0.00423120597466018,6.11887946959381,10000,10000
50,"linear",1.3,2,1,"P_n",0.2336,0.00423120597466018,6.10352237372925,10000,10000
50,"linear",1.3,2,1,"Hoeffding",0.2645,0.00441066604947598,0.0223607676187959,10000,10000
50,"linear",1.3,2,1,"dCov",0.2917,0.00454544948272445,0.334344477040909,10000,10000
50,"linear",1.3,2,1,"HHG",0.1823,0.00386091582399824,3457.82839102941,10000,10000
50,"linear",1.3,2,1,"Genest",0.2766,0.00447316934622422,0.0595288302222225,10000,10000
50,"linear",1.3,2,1,"MIC",0.1117,0.00314996999985714,0.399512171426289,10000,10000
50,"linear",1.4,2,2,"B_n",0.159,0.00365676086174636,9.4708042289845,10000,10000
50,"linear",1.4,2,2,"P_n",0.1609,0.00367438688763173,9.33670650226872,10000,10000
50,"linear",1.4,2,2,"Hoeffding",0.2456,0.00430442377095936,0.0208562083482792,10000,10000
50,"linear",1.4,2,2,"dCov",0.2689,0.00443387855043415,0.329475903378133,10000,10000
50,"linear",1.4,2,2,"HHG",0.1671,0.00373065128362328,3427.51792799331,10000,10000
50,"linear",1.4,2,2,"Genest",0.2547,0.00435692448867317,0.0578071502222213,10000,10000
50,"linear",1.4,2,2,"MIC",0.1009,0.0030119626491708,0.403552490638172,10000,10000
50,"linear",1.4,2,1,"B_n",0.203,0.00402232519819072,6.11942379439803,10000,10000
50,"linear",1.4,2,1,"P_n",0.203,0.00402232519819072,6.10403075231385,10000,10000
50,"linear",1.4,2,1,"Hoeffding",0.2404,0.00427326385798958,0.0210878532726689,10000,10000
50,"linear",1.4,2,1,"dCov",0.2637,0.0044063852532433,0.328708529018029,10000,10000
50,"linear",1.4,2,1,"HHG",0.162,0.00368450810828257,3434.41867768837,10000,10000
50,"linear",1.4,2,1,"Genest",0.2532,0.00434844523939304,0.0572507502222215,10000,10000
50,"linear",1.4,2,1,"MIC",0.1088,0.00311388117949288,0.399996563218572,10000,10000
50,"linear",1.5,2,2,"B_n",0.1387,0.00345633201530177,9.53713371677842,10000,10000
50,"linear",1.5,2,2,"P_n",0.1394,0.003463634507277,9.43593472978368,10000,10000
50,"linear",1.5,2,2,"Hoeffding",0.2191,0.00413636543356604,0.0206482565274028,10000,10000
50,"linear",1.5,2,2,"dCov",0.2314,0.004217274475298,0.329574711279332,10000,10000
50,"linear",1.5,2,2,"HHG",0.1421,0.00349152674341756,3451.89503271161,10000,10000
